x,y
"spanish farm minister loyola de palacio had earlier accused fischler at an eu farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . "" ","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBD', 'RBR', 'VBN', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'NNS', 'POS', 'NN', 'IN', 'VBG', 'JJ', 'NN', 'IN', '""', 'JJ', 'NN', '.', '""']"
. ,['.']
only france and britain backed fischler 's proposal . ,"['RB', 'NNP', 'CC', 'NNP', 'VBD', 'NNP', 'POS', 'NN', '.']"
the eu 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials . ,"['DT', 'NNP', 'POS', 'JJ', 'JJ', 'CC', 'JJ', 'NNS', 'VBP', 'JJ', 'TO', 'VB', 'DT', 'NN', 'RB', 'JJ', 'NN', 'CC', 'VB', 'NNS', 'TO', 'DT', 'JJ', 'JJ', 'NNS', '.']"
"sheep have long been known to contract scrapie , a brain-wasting disease similar to bse which is believed to have been transferred to cattle through feed containing animal waste . ","['NNP', 'VBP', 'RB', 'VBN', 'VBN', 'TO', 'NN', 'NN', ',', 'DT', 'JJ', 'NN', 'JJ', 'TO', 'NNP', 'WDT', 'VBZ', 'VBN', 'TO', 'VB', 'VBN', 'VBN', 'TO', 'NNS', 'IN', 'NN', 'VBG', 'NN', 'NN', '.']"
"british farmers denied on thursday there was any danger to human health from their sheep , but expressed concern that german government advice to consumers to avoid british lamb might influence consumers across europe . ","['JJ', 'NNS', 'VBN', 'IN', 'NNP', 'EX', 'VBD', 'DT', 'NN', 'TO', 'JJ', 'NN', 'IN', 'PRP$', 'NN', ',', 'CC', 'VBD', 'NN', 'IN', 'JJ', 'NN', 'NN', 'TO', 'NNS', 'TO', 'VB', 'JJ', 'NN', 'MD', 'VB', 'NNS', 'IN', 'NNP', '.']"
""" what we have to be extremely careful of is how other countries are going to take germany 's lead , "" welsh national farmers ' union ( nfu ) chairman john lloyd jones said on bbc radio . ","['""', 'WP', 'PRP', 'VBP', 'TO', 'VB', 'RB', 'JJ', 'IN', 'VBZ', 'WRB', 'JJ', 'NNS', 'VBP', 'VBG', 'TO', 'VB', 'NNP', 'POS', 'NN', ',', '""', 'NNP', 'NNP', 'NNP', 'POS', 'NNP', '(', 'NNP', ')', 'NN', 'NNP', 'NNP', 'NNP', 'VBD', 'IN', 'NNP', 'NN', '.']"
bonn has led efforts to protect public health after consumer confidence collapsed in march after a british report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef . ,"['NNP', 'VBZ', 'VBN', 'NNS', 'TO', 'VB', 'JJ', 'NN', 'IN', 'NN', 'NN', 'VBD', 'IN', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'VBD', 'NNS', 'MD', 'VB', 'DT', 'NN', 'JJ', 'TO', 'JJ', 'NN', 'NN', 'IN', 'VBG', 'VBN', 'NN', '.']"
"germany imported 47,600 sheep from britain last year , nearly half of total imports . ","['NNP', 'VBD', 'CD', 'NN', 'IN', 'NNP', 'JJ', 'NN', ',', 'RB', 'NN', 'IN', 'JJ', 'NNS', '.']"
"it brought in 4,275 tonnes of british mutton , some 10 percent of overall imports . ","['PRP', 'VBD', 'IN', 'CD', 'NNS', 'IN', 'JJ', 'NN', ',', 'DT', 'CD', 'NN', 'IN', 'JJ', 'NNS', '.']"
-docstart- ,['-X-']
"rare hendrix song draft sells for almost $ 17,000 . ","['NNP', 'NNP', 'NN', 'NN', 'VBZ', 'IN', 'RB', '$', 'CD', '.']"
london 1996-08-22 ,"['NNP', 'CD']"
"a rare early handwritten draft of a song by u.s. guitar legend jimi hendrix was sold for almost $ 17,000 on thursday at an auction of some of the late musician 's favourite possessions . ","['DT', 'JJ', 'JJ', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NN', 'NN', 'NNP', 'NNP', 'VBD', 'VBN', 'IN', 'RB', '$', 'CD', 'IN', 'NNP', 'IN', 'DT', 'NN', 'IN', 'DT', 'IN', 'DT', 'JJ', 'NN', 'POS', 'JJ', 'NNS', '.']"
"a florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" ai n't no telling "" , which hendrix penned on a piece of london hotel stationery in late 1966 . ","['DT', 'NNP', 'NN', 'VBD', 'CD', 'NNS', '(', '$', 'CD', ')', 'IN', 'DT', 'NN', 'IN', '""', 'VBZ', 'RB', 'DT', 'VBG', '""', ',', 'WDT', 'NNP', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NNP', 'NN', 'NN', 'IN', 'JJ', 'CD', '.']"
"at the end of a january 1967 concert in the english city of nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan . ","['IN', 'DT', 'NN', 'IN', 'DT', 'NNP', 'CD', 'NN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'PRP', 'VBD', 'DT', 'NN', 'IN', 'NN', 'IN', 'DT', 'NN', ',', 'WRB', 'PRP', 'VBD', 'VBN', 'IN', 'DT', 'NN', '.']"
"buyers also snapped up 16 other items that were put up for auction by hendrix 's former girlfriend kathy etchingham , who lived with him from 1966 to 1969 . ","['NNS', 'RB', 'VBD', 'RB', 'CD', 'JJ', 'NNS', 'WDT', 'VBD', 'VBN', 'RP', 'IN', 'NN', 'IN', 'NNP', 'POS', 'JJ', 'NN', 'NNP', 'NNP', ',', 'WP', 'VBD', 'IN', 'PRP', 'IN', 'CD', 'TO', 'CD', '.']"
"they included a black lacquer and mother of pearl inlaid box used by hendrix to store his drugs , which an anonymous australian purchaser bought for 5,060 pounds ( $ 7,845 ) . ","['PRP', 'VBD', 'DT', 'JJ', 'NN', 'CC', 'NN', 'IN', 'NN', 'VBD', 'NN', 'VBN', 'IN', 'NNP', 'TO', 'VB', 'PRP$', 'NNS', ',', 'WDT', 'DT', 'JJ', 'JJ', 'NN', 'VBD', 'IN', 'CD', 'NNS', '(', '$', 'CD', ')', '.']"
the guitarist died of a drugs overdose in 1970 aged 27 . ,"['DT', 'NN', 'VBD', 'IN', 'DT', 'NNS', 'NN', 'IN', 'CD', 'VBN', 'CD', '.']"
-docstart- ,['-X-']
china says taiwan spoils atmosphere for talks . ,"['NNP', 'VBZ', 'NNP', 'VBZ', 'NN', 'IN', 'NNS', '.']"
beijing 1996-08-22 ,"['VBG', 'CD']"
china on thursday accused taipei of spoiling the atmosphere for a resumption of talks across the taiwan strait with a visit to ukraine by taiwanese vice president lien chan this week that infuriated beijing . ,"['NNP', 'IN', 'NNP', 'VBD', 'NNP', 'IN', 'VBG', 'DT', 'NN', 'IN', 'DT', 'NN', 'IN', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'IN', 'DT', 'NN', 'TO', 'NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'DT', 'NN', 'WDT', 'VBD', 'NNP', '.']"
"speaking only hours after chinese state media said the time was right to engage in political talks with taiwan , foreign ministry spokesman shen guofang told reuters : "" the necessary atmosphere for the opening of the talks has been disrupted by the taiwan authorities . "" ","['VBG', 'JJ', 'NNS', 'IN', 'JJ', 'NN', 'NNS', 'VBD', 'DT', 'NN', 'VBD', 'RB', 'TO', 'VB', 'IN', 'JJ', 'NNS', 'IN', 'NNP', ',', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'VBD', 'NNP', ':', '""', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'IN', 'DT', 'NNS', 'VBZ', 'VBN', 'VBN', 'IN', 'DT', 'NNP', 'NNS', '.', '""']"
"state media quoted china 's top negotiator with taipei , tang shubei , as telling a visiting group from taiwan on wednesday that it was time for the rivals to hold political talks . ","['NN', 'NNS', 'VBD', 'NNP', 'POS', 'JJ', 'NN', 'IN', 'NNP', ',', 'NNP', 'NNP', ',', 'IN', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'NNP', 'IN', 'NNP', 'IN', 'PRP', 'VBD', 'NN', 'IN', 'DT', 'NNS', 'TO', 'VB', 'JJ', 'NNS', '.']"
""" now is the time for the two sides to engage in political talks ... ","['""', 'RB', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'CD', 'NNS', 'TO', 'VB', 'IN', 'JJ', 'NNS', ':']"
"that is to end the state of hostility , "" thursday 's overseas edition of the people 's daily quoted tang as saying . ","['WDT', 'VBZ', 'TO', 'VB', 'DT', 'NN', 'IN', 'NN', ',', '""', 'NNP', 'POS', 'JJ', 'NN', 'IN', 'DT', 'NNPS', 'POS', 'JJ', 'VBN', 'NNP', 'IN', 'VBG', '.']"
"the foreign ministry 's shen told reuters television in an interview he had read reports of tang 's comments but gave no details of why the negotiator had considered the time right for talks with taiwan , which beijing considers a renegade province . ","['DT', 'JJ', 'NN', 'POS', 'NNP', 'VBD', 'NNP', 'NNP', 'IN', 'DT', 'NN', 'PRP', 'VBD', 'VBN', 'NNS', 'IN', 'NNP', 'POS', 'NNS', 'CC', 'VBD', 'DT', 'NNS', 'IN', 'WRB', 'DT', 'NN', 'VBD', 'VBN', 'DT', 'NN', 'RB', 'IN', 'NNS', 'IN', 'NNP', ',', 'WDT', 'NNP', 'VBZ', 'DT', 'NN', 'NN', '.']"
"china , which has long opposed all taipei efforts to gain greater international recognition , was infuriated by a visit to ukraine this week by taiwanese vice president lien . ","['NNP', ',', 'WDT', 'VBZ', 'RB', 'VBN', 'DT', 'NNP', 'NNS', 'TO', 'VB', 'JJR', 'JJ', 'NN', ',', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'TO', 'NNP', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', '.']"
-docstart- ,['-X-']
china says time right for taiwan talks . ,"['NNP', 'VBZ', 'NN', 'RB', 'IN', 'NNP', 'NNS', '.']"
beijing 1996-08-22 ,"['VBG', 'CD']"
china has said it was time for political talks with taiwan and that the rival island should take practical steps towards that goal . ,"['NNP', 'VBZ', 'VBD', 'PRP', 'VBD', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'NNP', 'CC', 'IN', 'DT', 'JJ', 'NN', 'MD', 'VB', 'JJ', 'NNS', 'IN', 'DT', 'NN', '.']"
"consultations should be held to set the time and format of the talks , the official xinhua news agency quoted tang shubei , executive vice chairman of the association for relations across the taiwan straits , as saying late on wednesday . ","['NNS', 'MD', 'VB', 'VBN', 'TO', 'VB', 'DT', 'NN', 'CC', 'NN', 'IN', 'DT', 'NNS', ',', 'DT', 'NN', 'NNP', 'NN', 'NN', 'VBN', 'NNP', 'NNP', ',', 'JJ', 'NN', 'NN', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'IN', 'DT', 'NNP', 'NNP', ',', 'IN', 'VBG', 'RB', 'RB', 'NNP', '.']"
-docstart- ,['-X-']
german july car registrations up 14.2 pct yr / yr . ,"['NNP', 'NNP', 'NN', 'NNS', 'RB', 'CD', 'JJ', 'NN', 'SYM', 'NN', '.']"
frankfurt 1996-08-22 ,"['NNP', 'CD']"
"german first-time registrations of motor vehicles jumped 14.2 percent in july this year from the year-earlier period , the federal office for motor vehicles said on thursday . ","['JJ', 'JJ', 'NNS', 'IN', 'NN', 'NNS', 'VBD', 'CD', 'NN', 'IN', 'NNP', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN', ',', 'DT', 'NNP', 'NN', 'IN', 'NN', 'NNS', 'VBD', 'IN', 'NNP', '.']"
"the office said 356,725 new cars were registered in july 1996 -- 304,850 passenger cars and 15,613 trucks . ","['DT', 'NN', 'VBD', 'CD', 'JJ', 'NNS', 'VBD', 'VBN', 'IN', 'NNP', 'CD', ':', 'CD', 'NN', 'NNS', 'CC', 'CD', 'NNS', '.']"
the figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from july 1995 . ,"['DT', 'NNS', 'VBP', 'DT', 'CD', 'NN', 'NN', 'IN', 'NN', 'NNS', 'CC', 'DT', 'CD', 'NN', 'NN', 'IN', 'NNS', 'IN', 'NNP', 'CD', '.']"
motor-bike registration rose 32.7 percent in the period . ,"['JJ', 'NN', 'VBD', 'CD', 'NN', 'IN', 'DT', 'NN', '.']"
"the growth was partly due to an increased number of germans buying german cars abroad , while manufacturers said that domestic demand was weak , the federal office said . ","['DT', 'NN', 'VBD', 'RB', 'JJ', 'TO', 'DT', 'VBN', 'NN', 'IN', 'NNPS', 'VBG', 'JJ', 'NNS', 'RB', ',', 'IN', 'NNS', 'VBD', 'DT', 'JJ', 'NN', 'VBD', 'JJ', ',', 'DT', 'JJ', 'NN', 'VBD', '.']"
almost all german car manufacturers posted gains in registration numbers in the period . ,"['RB', 'DT', 'JJ', 'NN', 'NNS', 'VBD', 'NNS', 'IN', 'NN', 'NNS', 'IN', 'DT', 'NN', '.']"
"volkswagen ag won 77,719 registrations , slightly more than a quarter of the total . ","['NNP', 'NNP', 'VBD', 'CD', 'NNS', ',', 'RB', 'RBR', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
"opel ag together with general motors came in second place with 49,269 registrations , 16.4 percent of the overall figure . ","['NNP', 'NNP', 'RB', 'IN', 'NNP', 'NNPS', 'VBD', 'IN', 'JJ', 'NN', 'IN', 'CD', 'NNS', ',', 'CD', 'NN', 'IN', 'DT', 'JJ', 'NN', '.']"
"third was ford with 35,563 registrations , or 11.7 percent . ","['JJ', 'VBD', 'NNP', 'IN', 'CD', 'NNS', ',', 'CC', 'CD', 'NN', '.']"
only seat and porsche had fewer registrations in july 1996 compared to last year 's july . ,"['RB', 'NNP', 'CC', 'NNP', 'VBD', 'JJR', 'NNS', 'IN', 'NNP', 'CD', 'VBN', 'TO', 'JJ', 'NN', 'POS', 'NNP', '.']"
"seat posted 3,420 registrations compared with 5522 registrations in july a year earlier . ","['NN', 'VBD', 'CD', 'NNS', 'VBN', 'IN', 'CD', 'NNS', 'IN', 'NNP', 'DT', 'NN', 'RBR', '.']"
porsche 's registrations fell to 554 from 643 . ,"['NNP', 'POS', 'NNS', 'VBD', 'TO', 'CD', 'IN', 'CD', '.']"
-docstart- ,['-X-']
greek socialists give green light to pm for elections . ,"['JJ', 'NNS', 'VBP', 'NNP', 'NNP', 'TO', 'NNP', 'IN', 'NNS', '.']"
athens 1996-08-22 ,"['NNS', 'CD']"
"the greek socialist party 's executive bureau gave the green light to prime minister costas simitis to call snap elections , its general secretary costas skandalidis told reporters . ","['DT', 'NNP', 'JJ', 'NN', 'POS', 'JJ', 'NN', 'VBD', 'DT', 'JJ', 'NN', 'TO', 'NNP', 'NNP', 'VBZ', 'NNPS', 'TO', 'VB', 'VB', 'NNS', ',', 'PRP$', 'JJ', 'NN', 'NNP', 'NNP', 'VBD', 'NNS', '.']"
"prime minister costas simitis is going to make an official announcement after a cabinet meeting later on thursday , said skandalidis . ","['NNP', 'NNP', 'VBZ', 'NNP', 'VBZ', 'VBG', 'TO', 'VB', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'NN', 'RB', 'IN', 'NNP', ',', 'VBD', 'NNP', '.']"
"-- dimitris kontogiannis , athens newsroom +301 3311812-4 ","[':', 'NNP', 'NNP', ',', 'NNP', 'NNP', 'NNP', 'CD']"
-docstart- ,['-X-']
bayervb sets c$ 100 million six-year bond . ,"['NN', 'VBZ', '$', 'CD', 'CD', 'JJ', 'NN', '.']"
london 1996-08-22 ,"['NNP', 'CD']"
the following bond was announced by lead manager toronto dominion . ,"['DT', 'VBG', 'NN', 'VBD', 'VBN', 'IN', 'NN', 'NN', 'NNP', 'NNP', '.']"
borrower bayerische vereinsbank ,"['NNP', 'NNP', 'NNP']"
amt c$ 100 mln coupon 6.625 maturity 24.sep.02 ,"['NNP', '$', 'CD', 'NNP', 'NN', 'CD', 'NNP', 'CD']"
type straight iss price 100.92 pay date 24.sep.96 ,"['NNP', 'NNP', 'NNP', 'NNP', 'CD', 'NN', 'NNP', 'CD']"
full fees 1.875 reoffer 99.32 spread +20 bp ,"['NNP', 'NNS', 'CD', 'NNP', 'CD', 'NNP', 'CD', 'NNP']"
moody aa1 listing lux pay freq = ,"['NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNS', 'SYM']"
s&p = denoms ( k ) 1-10-100 sale limits us / uk / ca ,"['NNP', 'SYM', 'NNP', '(', 'NNP', ')', 'CD', 'NNP', 'VBZ', 'NNP', 'SYM', 'NNP', 'SYM', 'VBN']"
neg plg no crs deflt no force maj = ,"['NNP', 'NNP', 'DT', 'NNP', 'NNP', 'DT', 'VBP', 'MD', 'SYM']"
gov law german home ctry = tax provs standard ,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'SYM', 'NN', 'NNS', 'VBD']"
mgt / und 0.275 sell conc 1.60 praecip = ,"['NNP', 'SYM', 'NNP', 'CD', 'VB', 'NNP', 'CD', 'NNP', 'SYM']"
underlying govt bond 7.0 pct sept 2001 ,"['VBG', 'JJ', 'NN', 'CD', 'NNP', 'NNP', 'CD']"
notes bayerische vereinsbank is joint lead manager ,"['NNS', 'VBP', 'NNP', 'VBZ', 'VBZ', 'NNP', 'NN']"
-- london newsroom +44 171 542 7658 ,"[':', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
-docstart- ,['-X-']
venantius sets $ 300 million january 1999 frn . ,"['JJ', 'NNS', '$', 'CD', 'CD', 'NNP', 'CD', 'NNP', '.']"
london 1996-08-22 ,"['NNP', 'CD']"
the following floating-rate issue was announced by lead manager lehman brothers international . ,"['DT', 'VBG', 'NN', 'NN', 'VBD', 'VBN', 'IN', 'NN', 'NN', 'NNP', 'NNPS', 'NNP', '.']"
borrower venantius ab ( swedish national mortgage agency ) ,"['NNP', 'NNP', 'NNP', '(', 'NNP', 'NNP', 'NNP', 'NN', ')']"
amt $ 300 mln spread - 12.5 bp maturity 21.jan.99 ,"['NNP', '$', 'CD', 'NNP', 'NNP', ':', 'CD', 'NNP', 'NNP', 'CD']"
type frn base 3m libor pay date s23.sep.96 ,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNP', 'NNP']"
last moody aa3 iss price 99.956 full fees 10 bp ,"['NNS', 'NNP', 'NNP', 'NNP', 'NNP', 'CD', 'NNP', 'NNS', 'CD', 'NNP']"
last s&p aa+ reoffer = ,"['NNP', 'NNP', 'NNP', 'NN', 'SYM']"
notes s short first coupon ,"['NNS', 'NNP', 'NNP', 'NNP', 'NNP']"
listing london denoms ( k ) 1-10-100 sale limits us / uk / jp / fr ,"['VBG', 'NNP', 'NNP', '(', 'NNP', ')', 'CD', 'NNP', 'VBZ', 'NNP', 'SYM', 'NNP', 'SYM', 'NNP', 'SYM', 'VBN']"
neg plg yes crs deflt no force maj ipma 2 ,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'DT', 'VBP', 'MD', 'NNP', 'CD']"
gov law english home ctry sweden tax provs standard ,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNS', 'VBD']"
mgt / und 5 bp sell conc 5 bp praecip = ,"['NNP', 'SYM', 'NNP', 'CD', 'NNP', 'VB', 'NNP', 'CD', 'NNP', 'NNP', 'SYM']"
notes issued off emtn programme ,"['NNS', 'VBD', 'NN', 'NNP', 'NNP']"
-- london newsroom +44 171 542 8863 ,"[':', 'NNP', 'NNP', 'CD', 'CD', 'CD', 'CD']"
-docstart- ,['-X-']
port conditions update - syria - lloyds shipping . ,"['NN', 'NNS', 'VBP', ':', 'NNP', ':', 'NNP', 'NNP', '.']"
port conditions from lloyds shipping intelligence service -- ,"['NN', 'NNS', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', ':']"
"lattakia , aug 10 - waiting time at lattakia and tartous presently 24 hours . ","['NNP', ',', 'NNP', 'CD', ':', 'VBG', 'NN', 'IN', 'NNP', 'CC', 'NNP', 'RB', 'CD', 'NNS', '.']"
-docstart- ,['-X-']
israel plays down fears of war with syria . ,"['NNP', 'VBZ', 'RP', 'NNS', 'IN', 'NN', 'IN', 'NNP', '.']"
colleen siegel ,"['NNP', 'NNP']"
jerusalem 1996-08-22 ,"['VBN', 'CD']"
israel 's outgoing peace negotiator with syria said on thursday current tensions between the two countries appeared to be a storm in a teacup . ,"['NNP', 'POS', 'JJ', 'NN', 'NN', 'IN', 'NNP', 'VBD', 'IN', 'NNP', 'JJ', 'NNS', 'IN', 'DT', 'CD', 'NNS', 'VBD', 'TO', 'VB', 'DT', 'NN', 'IN', 'DT', 'NN', '.']"
"itamar rabinovich , who as israel 's ambassador to washington conducted unfruitful negotiations with syria , told israel radio it looked like damascus wanted to talk rather than fight . ","['NNP', 'NNP', ',', 'WP', 'IN', 'NNP', 'POS', 'NN', 'TO', 'NNP', 'VBD', 'JJ', 'NNS', 'IN', 'NNP', ',', 'VBD', 'NNP', 'NNP', 'PRP', 'VBD', 'IN', 'NNP', 'VBD', 'TO', 'VB', 'RB', 'IN', 'NN', '.']"
""" it appears to me the syrian priority is still to negotiate . ","['""', 'PRP', 'VBZ', 'TO', 'PRP', 'DT', 'JJ', 'NN', 'VBZ', 'RB', 'TO', 'VB', '.']"
"the syrians are confused , they are definitely tense , but the general assessment here in washington is that this is essentially a storm in a teacup , "" he said . ","['DT', 'NNPS', 'VBP', 'VBN', ',', 'PRP', 'VBP', 'RB', 'JJ', ',', 'CC', 'DT', 'JJ', 'NN', 'RB', 'IN', 'NNP', 'VBZ', 'IN', 'DT', 'VBZ', 'RB', 'DT', 'NN', 'IN', 'DT', 'NN', ',', '""', 'PRP', 'VBD', '.']"
rabinovich is winding up his term as ambassador . ,"['NN', 'VBZ', 'VBG', 'RP', 'PRP$', 'NN', 'IN', 'NN', '.']"
"he will be replaced by eliahu ben-elissar , a former israeli envoy to egypt and right-wing likud party politician . ","['PRP', 'MD', 'VB', 'VBN', 'IN', 'NNP', 'NNP', ',', 'DT', 'JJ', 'JJ', 'NN', 'TO', 'NNP', 'CC', 'JJ', 'NNP', 'NN', 'NN', '.']"
"israel on wednesday sent syria a message , via washington , saying it was committed to peace and wanted to open negotiations without preconditions . ","['NNP', 'IN', 'NNP', 'VBD', 'NNP', 'DT', 'NN', ',', 'IN', 'NNP', ',', 'VBG', 'PRP', 'VBD', 'VBN', 'TO', 'NN', 'CC', 'VBD', 'TO', 'VB', 'NNS', 'IN', 'NNS', '.']"
but it slammed damascus for creating what it called a dangerous atmosphere . ,"['CC', 'PRP', 'VBD', 'NNP', 'IN', 'VBG', 'WP', 'PRP', 'VBD', 'DT', 'JJ', 'NN', '.']"
syria accused israel on wednesday of launching a hysterical campaign against it after israeli television reported that damascus had recently test fired a missile . ,"['NNP', 'VBD', 'NNP', 'IN', 'NNP', 'IN', 'VBG', 'DT', 'JJ', 'NN', 'IN', 'PRP', 'IN', 'JJ', 'NN', 'VBD', 'IN', 'NNP', 'VBD', 'RB', 'VB', 'VBN', 'DT', 'NN', '.']"
it said its arms purchases were for defensive purposes . ,"['PRP', 'VBD', 'PRP$', 'NNS', 'NNS', 'VBD', 'IN', 'JJ', 'NNS', '.']"
""" the message that we sent to ( syrian president hafez al- ) assad is that israel is ready at any time without preconditions to enter peace negotiations , "" israeli foreign minister david levy told israel radio in an interview . ","['""', 'DT', 'NN', 'IN', 'PRP', 'VBD', 'TO', '(', 'JJ', 'NNP', 'NNP', 'JJ', ')', 'NN', 'VBZ', 'IN', 'NNP', 'VBZ', 'JJ', 'IN', 'DT', 'NN', 'IN', 'NNS', 'TO', 'VB', 'NN', 'NNS', ',', '""', 'JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'VBD', 'NNP', 'NNP', 'IN', 'DT', 'NN', '.']"
tension has mounted since israeli prime minister benjamin netanyahu took office in june vowing to retain the golan heights israel captured from syria in the 1967 middle east war . ,"['NN', 'VBZ', 'VBN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'VBD', 'NN', 'IN', 'NNP', 'VBG', 'TO', 'VB', 'DT', 'NNP', 'NNPS', 'NNP', 'VBD', 'IN', 'NNP', 'IN', 'DT', 'CD', 'NNP', 'NNP', 'NN', '.']"
israeli-syrian peace talks have been deadlocked over the golan since 1991 despite the previous government 's willingness to make golan concessions . ,"['JJ', 'NN', 'NNS', 'VBP', 'VBN', 'VBN', 'IN', 'DT', 'NNP', 'IN', 'CD', 'IN', 'DT', 'JJ', 'NN', 'POS', 'NN', 'TO', 'VB', 'JJ', 'NNS', '.']"
